Model,Epoch,Train_Loss,Train_Accuracy,Train_Accuracy_Percent,Test_Loss,Test_Accuracy,Test_Accuracy_Percent,Epoch_Time
LSTM,1,0.678318285369873,0.573175,57.317499999999995,0.6383597543285151,0.6408,64.08,1876.0352828502655
Bi-LSTM,1,0.64192170753479,0.631025,63.10249999999999,0.6636962097161895,0.5985,59.85,3976.3511793613434
LSTM,2,0.5844356115579605,0.679825,67.9825,0.4251690396837368,0.8142,81.42,1810.1562850475311
Bi-LSTM,2,0.5785447280883789,0.68705,68.705,0.4749359129720433,0.7875,78.75,3669.4960372447968
LSTM,3,0.3147112235069275,0.870025,87.0025,0.3045434955578701,0.8663,86.63,1810.2759065628052
Bi-LSTM,3,0.3607674907922745,0.843875,84.3875,0.32958122043852595,0.8578,85.78,3768.4877898693085
LSTM,4,0.22746354957818984,0.91205,91.205,0.2833137234589856,0.8928,89.28,1815.405481338501
Bi-LSTM,4,0.2658241255402565,0.889675,88.9675,0.3081665188074112,0.8682,86.82,3719.7667257785797
LSTM,5,0.17303360491394998,0.937725,93.77250000000001,0.29081288155666585,0.8908,89.08,1842.0351696014404
Bi-LSTM,5,0.21051104636788368,0.91755,91.755,0.292997370812164,0.8826,88.26,3688.0841765403748
